group	x	y
5	1	0
5	2	0
5	3	1
5	4	1
5	5	1
5	6	1
5	7	2
5	8	3
5	9	3
5	10	3
5	11	4
5	12	5
5	13	5
5	14	6
5	15	6
5	16	6
5	17	6
5	18	7
5	19	8
5	20	9
5	21	9
5	22	10
5	23	12
5	24	12
5	25	12
5	26	13
5	27	13
5	28	14
5	29	14
5	30	15
5	31	15
5	32	15
5	33	15
5	34	15
5	35	16
5	36	17
5	37	19
5	38	20
5	39	23
5	40	23
5	41	23
5	42	24
5	43	24
5	44	26
5	45	26
5	46	27
5	47	27
5	48	27
5	49	27
5	50	27
5	51	28
5	52	30
5	53	32
5	54	33
5	55	33
5	56	34
5	57	35
5	58	35
5	59	36
5	60	36
5	61	37
5	62	39
5	63	39
5	64	39
5	65	39
5	66	39
5	67	39
5	68	39
5	69	39
5	70	39
5	71	40
6	1	1
6	2	2
6	3	3
6	4	4
6	5	5
6	6	6
6	7	7
6	8	7
6	9	9
6	10	11
6	11	11
6	12	12
6	13	12
6	14	12
6	15	12
6	16	12
6	17	13
6	18	13
6	19	13
6	20	14
6	21	15
6	22	16
6	23	17
6	24	17
6	25	17
6	26	17
6	27	17
6	28	18
6	29	18
6	30	19
6	31	20
6	32	20
6	33	20
6	34	22
6	35	23
6	36	24
6	37	24
6	38	24
6	39	25
6	40	25
6	41	27
6	42	27
6	43	27
6	44	27
6	45	27
6	46	28
6	47	29
6	48	30
6	49	33
6	50	34
6	51	37
6	52	38
6	53	38
6	54	39
6	55	39
6	56	41
7	1	0
7	2	0
7	3	0
7	4	0
7	5	1
7	6	1
7	7	2
7	8	4
7	9	5
7	10	5
7	11	8
7	12	10
7	13	12
7	14	12
7	15	14
7	16	14
7	17	14
7	18	14
7	19	14
7	20	14
7	21	15
7	22	15
7	23	15
7	24	15
7	25	15
7	26	16
7	27	18
7	28	18
7	29	18
7	30	18
7	31	18
7	32	18
7	33	18
7	34	19
7	35	19
7	36	19
7	37	19
7	38	21
7	39	22
7	40	24
7	41	24
7	42	24
7	43	25
7	44	27
7	45	27
7	46	28
7	47	28
7	48	28
7	49	28
7	50	29
7	51	30
7	52	33
7	53	33
7	54	34
7	55	37
7	56	40
7	57	40
7	58	41
7	59	43
7	60	43
7	61	45
7	62	46
7	63	46
7	64	47
7	65	49
7	66	49
7	67	50
7	68	50
7	69	51
7	70	51
7	71	53
7	72	54
7	73	55
7	74	56
7	75	56
7	76	57
7	77	57
7	78	58
7	79	58
7	80	59
7	81	60
7	82	61
8	1	2
8	2	2
8	3	3
8	4	5
8	5	6
8	6	7
8	7	7
8	8	7
8	9	10
8	10	11
8	11	13
8	12	15
8	13	15
8	14	17
8	15	19
8	16	19
8	17	21
8	18	23
8	19	23
8	20	23
8	21	24
8	22	24
8	23	25
8	24	26
8	25	28
8	26	29
8	27	29
8	28	29
8	29	30
8	30	30
8	31	31
8	32	31
8	33	31
8	34	31
8	35	31
8	36	31
8	37	32
8	38	32
8	39	32
8	40	34
8	41	34
8	42	35
8	43	36
8	44	37
8	45	37
8	46	37
8	47	38
8	48	38
8	49	38
8	50	38
8	51	40
8	52	41
8	53	42
8	54	42
8	55	42
8	56	42
8	57	44
8	58	45
8	59	46
8	60	47
8	61	47
8	62	48
8	63	49
8	64	49
8	65	49
8	66	49
8	67	51
8	68	51
8	69	51
8	70	53
8	71	55
8	72	57
8	73	61
8	74	61
8	75	61
8	76	61
8	77	61
8	78	61
8	79	63
8	80	64
8	81	65
8	82	66
9	1	1
9	2	1
9	3	1
9	4	3
9	5	3
9	6	3
9	7	6
9	8	7
9	9	8
9	10	8
9	11	9
9	12	10
9	13	12
9	14	13
9	15	13
9	16	13
9	17	15
9	18	16
9	19	17
9	20	17
9	21	17
9	22	18
9	23	18
9	24	20
9	25	21
9	26	21
9	27	22
9	28	22
9	29	23
9	30	25
9	31	26
9	32	28
9	33	30
9	34	30
9	35	31
9	36	32
9	37	34
9	38	34
9	39	34
9	40	34
9	41	34
9	42	35
9	43	37
9	44	37
9	45	37
9	46	38
9	47	39
9	48	41
9	49	42
9	50	45
9	51	47
9	52	48
9	53	51
9	54	52
9	55	53
9	56	53
9	57	53
9	58	55
9	59	56
9	60	59
9	61	59
9	62	61
9	63	61
9	64	61
9	65	61
9	66	62
9	67	63
9	68	64
9	69	64
9	70	66
9	71	67
9	72	69
9	73	69
9	74	71
9	75	72
9	76	74
9	77	74
9	78	75
9	79	76
9	80	76
9	81	76
9	82	77
10	1	0
10	2	0
10	3	1
10	4	3
10	5	4
10	6	5
10	7	7
10	8	9
10	9	11
10	10	11
10	11	13
10	12	13
10	13	13
10	14	13
10	15	13
10	16	17
10	17	17
10	18	18
