colour	x	y	tooltip	showSelected2	fill
#F8766D	1	0	"Game 1 - Oct 08, 2015
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2015	#F8766D
#F8766D	2	0	"Game 2 - Oct 10, 2015
Points this game: 0
Goals this game: 0
+/-: 0
Cumulative points: 0"	2015	#F8766D
#F8766D	3	1	"Game 3 - Oct 13, 2015
Points this game: 1
Goals this game: 1
+/-: -1
Cumulative points: 1"	2015	#F8766D
#F8766D	4	1	"Game 4 - Oct 15, 2015
Points this game: 0
Goals this game: 0
+/-: -3
Cumulative points: 1"	2015	#F8766D
#F8766D	5	4	"Game 5 - Oct 17, 2015
Points this game: 3
Goals this game: 2
+/-: 3
Cumulative points: 4"	2015	#F8766D
#F8766D	6	5	"Game 6 - Oct 18, 2015
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 5"	2015	#F8766D
#F8766D	7	6	"Game 7 - Oct 21, 2015
Points this game: 1
Goals this game: 1
+/-: 2
Cumulative points: 6"	2015	#F8766D
#F8766D	8	8	"Game 8 - Oct 23, 2015
Points this game: 2
Goals this game: 1
+/-: -1
Cumulative points: 8"	2015	#F8766D
#F8766D	9	9	"Game 9 - Oct 25, 2015
Points this game: 1
Goals this game: 0
+/-: 0
Cumulative points: 9"	2015	#F8766D
#F8766D	10	10	"Game 10 - Oct 27, 2015
Points this game: 1
Goals this game: 0
+/-: -1
Cumulative points: 10"	2015	#F8766D
#F8766D	11	12	"Game 11 - Oct 29, 2015
Points this game: 2
Goals this game: 0
+/-: 2
Cumulative points: 12"	2015	#F8766D
#F8766D	12	12	"Game 12 - Oct 31, 2015
Points this game: 0
Goals this game: 0
+/-: -3
Cumulative points: 12"	2015	#F8766D
#F8766D	13	12	"Game 13 - Nov 03, 2015
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 12"	2015	#F8766D
#F8766D	14	15	"Game 14 - Feb 02, 2016
Points this game: 3
Goals this game: 1
+/-: 3
Cumulative points: 15"	2015	#F8766D
#F8766D	15	17	"Game 15 - Feb 04, 2016
Points this game: 2
Goals this game: 0
+/-: 2
Cumulative points: 17"	2015	#F8766D
#F8766D	16	17	"Game 16 - Feb 06, 2016
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 17"	2015	#F8766D
#F8766D	17	18	"Game 17 - Feb 07, 2016
Points this game: 1
Goals this game: 1
+/-: -2
Cumulative points: 18"	2015	#F8766D
#F8766D	18	19	"Game 18 - Feb 09, 2016
Points this game: 1
Goals this game: 0
+/-: 1
Cumulative points: 19"	2015	#F8766D
#F8766D	19	24	"Game 19 - Feb 11, 2016
Points this game: 5
Goals this game: 2
+/-: 5
Cumulative points: 24"	2015	#F8766D
#F8766D	20	24	"Game 20 - Feb 13, 2016
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 24"	2015	#F8766D
#F8766D	21	25	"Game 21 - Feb 16, 2016
Points this game: 1
Goals this game: 0
+/-: -1
Cumulative points: 25"	2015	#F8766D
#F8766D	22	26	"Game 22 - Feb 18, 2016
Points this game: 1
Goals this game: 1
+/-: 0
Cumulative points: 26"	2015	#F8766D
#F8766D	23	27	"Game 23 - Feb 20, 2016
Points this game: 1
Goals this game: 0
+/-: -1
Cumulative points: 27"	2015	#F8766D
#F8766D	24	28	"Game 24 - Feb 23, 2016
Points this game: 1
Goals this game: 0
+/-: 0
Cumulative points: 28"	2015	#F8766D
#F8766D	25	28	"Game 25 - Feb 25, 2016
Points this game: 0
Goals this game: 0
+/-: -1
Cumulative points: 28"	2015	#F8766D
#F8766D	26	28	"Game 26 - Feb 26, 2016
Points this game: 0
Goals this game: 0
+/-: 1
Cumulative points: 28"	2015	#F8766D
